email_id,subject,body,label,dataset_id,thread_id,sender_group,timestamp
D2_2000,Enron North America gas trading schedule,Here is the revised natural gas delivery schedule for the Houston pipeline hub for next week. Please review the volume numbers.,legitimate,enron_spam,TH_ENR_100,GRP_ENR_1,2026-01-01T00:00:00+00:00
D2_2001,Meeting notes from risk management committee,Attached are the summary notes and action items from yesterday's risk committee meeting. Let me know if any adjustments are needed.,legitimate,enron_spam,TH_ENR_101,GRP_ENR_2,2026-01-01T04:11:00+00:00
D2_2002,Quarterly financial report review draft,"Vince, Please take a look at the attached draft for the Q2 financial summary before we present it to executive management.",legitimate,enron_spam,TH_ENR_102,GRP_ENR_3,2026-01-01T08:22:00+00:00
D2_2003,Pipeline capacity allocation update,The revised capacity allocation for the Western transmission segment has been finalized. See attached spreadsheet for details.,legitimate,enron_spam,TH_ENR_103,GRP_ENR_4,2026-01-01T12:33:00+00:00
D2_2004,Energy trading model calibration parameters,"Hi Mark, We updated the volatility curves in the pricing model. The updated parameters have been saved to the shared drive.",legitimate,enron_spam,TH_ENR_104,GRP_ENR_1,2026-01-01T16:44:00+00:00
D2_2005,Schedule change for Houston energy conference,"Hi All, The keynote panel at the Houston energy conference has been moved to 2 PM on Tuesday. Please update your itineraries.",legitimate,enron_spam,TH_ENR_105,GRP_ENR_2,2026-01-01T20:55:00+00:00
D2_2006,Contract confirmation for physical power delivery,Please find the executed contract confirmation for the July power delivery agreement attached. Thank you.,legitimate,enron_spam,TH_ENR_106,GRP_ENR_3,2026-01-02T01:06:00+00:00
D2_2007,IT system maintenance notification for Enron intranet,The internal trading database will undergo routine maintenance this Sunday from midnight to 4 AM. Expect brief downtime.,legitimate,enron_spam,TH_ENR_107,GRP_ENR_4,2026-01-02T05:17:00+00:00
D2_2008,Enron North America gas trading schedule [8],Here is the revised natural gas delivery schedule for the Houston pipeline hub for next week. Please review the volume numbers. (Ref ID: ENR-508),legitimate,enron_spam,TH_ENR_108,GRP_ENR_1,2026-01-02T09:28:00+00:00
D2_2009,Meeting notes from risk management committee [9],Attached are the summary notes and action items from yesterday's risk committee meeting. Let me know if any adjustments are needed. (Ref ID: ENR-509),legitimate,enron_spam,TH_ENR_109,GRP_ENR_2,2026-01-02T13:39:00+00:00
D2_2010,Quarterly financial report review draft [10],"Vince, Please take a look at the attached draft for the Q2 financial summary before we present it to executive management. (Ref ID: ENR-510)",legitimate,enron_spam,TH_ENR_110,GRP_ENR_3,2026-01-02T17:50:00+00:00
D2_2011,Pipeline capacity allocation update [11],The revised capacity allocation for the Western transmission segment has been finalized. See attached spreadsheet for details. (Ref ID: ENR-511),legitimate,enron_spam,TH_ENR_111,GRP_ENR_4,2026-01-02T22:01:00+00:00
D2_2012,Energy trading model calibration parameters [12],"Hi Mark, We updated the volatility curves in the pricing model. The updated parameters have been saved to the shared drive. (Ref ID: ENR-512)",legitimate,enron_spam,TH_ENR_112,GRP_ENR_1,2026-01-03T02:12:00+00:00
D2_2013,Schedule change for Houston energy conference [13],"Hi All, The keynote panel at the Houston energy conference has been moved to 2 PM on Tuesday. Please update your itineraries. (Ref ID: ENR-513)",legitimate,enron_spam,TH_ENR_113,GRP_ENR_2,2026-01-03T06:23:00+00:00
D2_2014,Contract confirmation for physical power delivery [14],Please find the executed contract confirmation for the July power delivery agreement attached. Thank you. (Ref ID: ENR-514),legitimate,enron_spam,TH_ENR_114,GRP_ENR_3,2026-01-03T10:34:00+00:00
D2_2015,IT system maintenance notification for Enron intranet [15],The internal trading database will undergo routine maintenance this Sunday from midnight to 4 AM. Expect brief downtime. (Ref ID: ENR-515),legitimate,enron_spam,TH_ENR_115,GRP_ENR_4,2026-01-03T14:45:00+00:00
