email_id,subject,body,label,dataset_id,thread_id,sender_group,timestamp
D1_1000,Request for budget approval for Q3 marketing campaign,"Dear Manager, Please find attached the budget proposal for the Q3 campaign. Could you review and approve the requested funds by Friday? Best regards.",request,business_intent,TH_100,GRP_1,2026-01-01T00:00:00+00:00
D1_1001,Access request to project analytics dashboard,"Hi IT Support, I need read-write access to the analytics dashboard for the new project. Please assign the appropriate permissions. Thanks!",request,business_intent,TH_101,GRP_2,2026-01-01T03:07:00+00:00
D1_1002,Request for software license renewal,"Hello Procurement, Our team requires 5 additional licenses for the IDE software. Please process this request at your earliest convenience.",request,business_intent,TH_102,GRP_3,2026-01-01T06:14:00+00:00
D1_1003,Data export request for financial audit,"Hi Team, Can you please export the sales transaction records for the last fiscal year and send them over as a CSV file? Thank you.",request,business_intent,TH_103,GRP_4,2026-01-01T09:21:00+00:00
D1_1004,Request for design assets for mobile app launch,"Dear Creative Team, We need the high-resolution logo files and icons for the upcoming mobile application release. Appreciate your help.",request,business_intent,TH_104,GRP_5,2026-01-01T12:28:00+00:00
D1_1005,Equipment request: Dual monitor setup for new developer,"Hi Facilities, A new developer is joining our team next Monday. Could you please arrange a dual-monitor workstation setup at Desk 42? Thanks.",request,business_intent,TH_105,GRP_1,2026-01-01T15:35:00+00:00
D1_1006,API documentation request for third-party integration,"Hello Engineering, Could you share the updated API specs and sample payloads for the payment gateway service? Best regards.",request,business_intent,TH_106,GRP_2,2026-01-01T18:42:00+00:00
D1_1007,Leave request for upcoming conference,"Hi Lead, I would like to request leave from October 12 to October 15 to attend the annual AI developer conference. Please approve. Thanks!",request,business_intent,TH_107,GRP_3,2026-01-01T21:49:00+00:00
D1_1008,Request for budget approval for Q3 marketing campaign - Ref #108,"Dear Manager, Please find attached the budget proposal for the Q3 campaign. Could you review and approve the requested funds by Friday? Best regards. (Tracking code: TRK-208)",request,business_intent,TH_108,GRP_4,2026-01-02T00:56:00+00:00
D1_1009,Access request to project analytics dashboard - Ref #109,"Hi IT Support, I need read-write access to the analytics dashboard for the new project. Please assign the appropriate permissions. Thanks! (Tracking code: TRK-209)",request,business_intent,TH_109,GRP_5,2026-01-02T04:03:00+00:00
D1_1010,Request for software license renewal - Ref #110,"Hello Procurement, Our team requires 5 additional licenses for the IDE software. Please process this request at your earliest convenience. (Tracking code: TRK-210)",request,business_intent,TH_110,GRP_1,2026-01-02T07:10:00+00:00
D1_1011,Data export request for financial audit - Ref #111,"Hi Team, Can you please export the sales transaction records for the last fiscal year and send them over as a CSV file? Thank you. (Tracking code: TRK-211)",request,business_intent,TH_111,GRP_2,2026-01-02T10:17:00+00:00
D1_1012,Request for design assets for mobile app launch - Ref #112,"Dear Creative Team, We need the high-resolution logo files and icons for the upcoming mobile application release. Appreciate your help. (Tracking code: TRK-212)",request,business_intent,TH_112,GRP_3,2026-01-02T13:24:00+00:00
D1_1013,Equipment request: Dual monitor setup for new developer - Ref #113,"Hi Facilities, A new developer is joining our team next Monday. Could you please arrange a dual-monitor workstation setup at Desk 42? Thanks. (Tracking code: TRK-213)",request,business_intent,TH_113,GRP_4,2026-01-02T16:31:00+00:00
D1_1014,API documentation request for third-party integration - Ref #114,"Hello Engineering, Could you share the updated API specs and sample payloads for the payment gateway service? Best regards. (Tracking code: TRK-214)",request,business_intent,TH_114,GRP_5,2026-01-02T19:38:00+00:00
D1_1015,Leave request for upcoming conference - Ref #115,"Hi Lead, I would like to request leave from October 12 to October 15 to attend the annual AI developer conference. Please approve. Thanks! (Tracking code: TRK-215)",request,business_intent,TH_100,GRP_1,2026-01-02T22:45:00+00:00
D1_1016,Request for budget approval for Q3 marketing campaign - Ref #116,"Dear Manager, Please find attached the budget proposal for the Q3 campaign. Could you review and approve the requested funds by Friday? Best regards. (Tracking code: TRK-216)",request,business_intent,TH_101,GRP_2,2026-01-03T01:52:00+00:00
D1_1017,Access request to project analytics dashboard - Ref #117,"Hi IT Support, I need read-write access to the analytics dashboard for the new project. Please assign the appropriate permissions. Thanks! (Tracking code: TRK-217)",request,business_intent,TH_102,GRP_3,2026-01-03T04:59:00+00:00
D1_1018,Request for software license renewal - Ref #118,"Hello Procurement, Our team requires 5 additional licenses for the IDE software. Please process this request at your earliest convenience. (Tracking code: TRK-218)",request,business_intent,TH_103,GRP_4,2026-01-03T08:06:00+00:00
D1_1019,Data export request for financial audit - Ref #119,"Hi Team, Can you please export the sales transaction records for the last fiscal year and send them over as a CSV file? Thank you. (Tracking code: TRK-219)",request,business_intent,TH_104,GRP_5,2026-01-03T11:13:00+00:00
D1_1020,Request for design assets for mobile app launch - Ref #120,"Dear Creative Team, We need the high-resolution logo files and icons for the upcoming mobile application release. Appreciate your help. (Tracking code: TRK-220)",request,business_intent,TH_105,GRP_1,2026-01-03T14:20:00+00:00
D1_1021,Equipment request: Dual monitor setup for new developer - Ref #121,"Hi Facilities, A new developer is joining our team next Monday. Could you please arrange a dual-monitor workstation setup at Desk 42? Thanks. (Tracking code: TRK-221)",request,business_intent,TH_106,GRP_2,2026-01-03T17:27:00+00:00
D1_1022,API documentation request for third-party integration - Ref #122,"Hello Engineering, Could you share the updated API specs and sample payloads for the payment gateway service? Best regards. (Tracking code: TRK-222)",request,business_intent,TH_107,GRP_3,2026-01-03T20:34:00+00:00
D1_1023,Leave request for upcoming conference - Ref #123,"Hi Lead, I would like to request leave from October 12 to October 15 to attend the annual AI developer conference. Please approve. Thanks! (Tracking code: TRK-223)",request,business_intent,TH_108,GRP_4,2026-01-03T23:41:00+00:00
D1_1024,Request for budget approval for Q3 marketing campaign - Ref #124,"Dear Manager, Please find attached the budget proposal for the Q3 campaign. Could you review and approve the requested funds by Friday? Best regards. (Tracking code: TRK-224)",request,business_intent,TH_109,GRP_5,2026-01-04T02:48:00+00:00
D1_1025,Access request to project analytics dashboard - Ref #125,"Hi IT Support, I need read-write access to the analytics dashboard for the new project. Please assign the appropriate permissions. Thanks! (Tracking code: TRK-225)",request,business_intent,TH_110,GRP_1,2026-01-04T05:55:00+00:00
D1_1026,Request for software license renewal - Ref #126,"Hello Procurement, Our team requires 5 additional licenses for the IDE software. Please process this request at your earliest convenience. (Tracking code: TRK-226)",request,business_intent,TH_111,GRP_2,2026-01-04T09:02:00+00:00
D1_1027,Data export request for financial audit - Ref #127,"Hi Team, Can you please export the sales transaction records for the last fiscal year and send them over as a CSV file? Thank you. (Tracking code: TRK-227)",request,business_intent,TH_112,GRP_3,2026-01-04T12:09:00+00:00
D1_1028,Request for design assets for mobile app launch - Ref #128,"Dear Creative Team, We need the high-resolution logo files and icons for the upcoming mobile application release. Appreciate your help. (Tracking code: TRK-228)",request,business_intent,TH_113,GRP_4,2026-01-04T15:16:00+00:00
